time,action,position,value,entryprice
2025-10-16 17:59:59.999000,short,5.6,16.598399999999998,2.964
2025-10-17 01:59:59.999000,long,5.6,16.464,2.94
2025-10-17 06:59:59.999000,short,6.0,16.740000000000002,2.79
2025-10-17 13:59:59.999000,long,6.0,16.878,2.813
2025-10-17 14:59:59.999000,short,6.0,16.404,2.734
2025-10-17 15:59:59.999000,long,6.0,16.488,2.748
2025-10-19 11:59:59.999000,long,21.3,62.9628,2.956
2025-10-20 06:59:59.999000,long,21.0,62.013,2.953
2025-10-20 08:59:59.999000,short,21.0,60.963,2.903
2025-10-20 10:59:59.999000,long,20.2,60.3172,2.986
2025-10-20 16:59:59.999000,short,20.2,57.913399999999996,2.867
2025-10-21 17:59:59.999000,long,20.7,59.11919999999999,2.856
2025-10-22 09:29:59.999000,short,35.5,97.2345,2.739
2025-10-22 11:29:59.999000,long,35.5,96.986,2.732
2025-10-22 11:59:59.999000,short,35.9,97.1813,2.707
2025-10-22 12:29:59.999000,long,35.9,97.6121,2.719
2025-10-22 14:29:59.999000,long,35.0,96.46,2.756
