open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-05-02 11:05:00,0.43480000,0.43750000,0.43380000,0.43720000,16366.10000000,2025-05-02 11:09:59.999,7136.33478000,139,9456.40000000,4127.32863000,0
2025-05-02 11:10:00,0.43720000,0.43750000,0.43560000,0.43560000,12959.50000000,2025-05-02 11:14:59.999,5654.82789000,157,4801.40000000,2095.45330000,0
2025-05-02 11:15:00,0.43580000,0.43880000,0.43520000,0.43830000,23615.30000000,2025-05-02 11:19:59.999,10305.19618000,147,12032.10000000,5251.16421000,0
2025-05-02 11:20:00,0.43820000,0.44260000,0.43790000,0.44100000,62839.80000000,2025-05-02 11:24:59.999,27651.92211000,411,47983.00000000,21109.69297000,0
2025-05-02 11:25:00,0.44090000,0.44160000,0.43790000,0.44000000,36649.70000000,2025-05-02 11:29:59.999,16114.89713000,295,20500.50000000,9013.19068000,0
2025-05-02 11:30:00,0.44020000,0.44040000,0.43860000,0.43980000,6940.20000000,2025-05-02 11:34:59.999,3049.54000000,77,4021.00000000,1767.41628000,0
2025-05-02 11:35:00,0.43940000,0.44090000,0.43860000,0.43880000,5481.50000000,2025-05-02 11:39:59.999,2412.59205000,75,2648.30000000,1165.68604000,0
2025-05-02 11:40:00,0.43870000,0.43940000,0.43740000,0.43760000,8945.50000000,2025-05-02 11:44:59.999,3921.04577000,67,1590.70000000,696.97624000,0
2025-05-02 11:45:00,0.43770000,0.43790000,0.43500000,0.43530000,16346.20000000,2025-05-02 11:49:59.999,7124.28471000,163,3487.80000000,1520.31849000,0
2025-05-02 11:50:00,0.43530000,0.43700000,0.43520000,0.43650000,9515.80000000,2025-05-02 11:54:59.999,4151.37596000,93,7809.10000000,3407.73526000,0
2025-05-02 11:55:00,0.43650000,0.43740000,0.43540000,0.43540000,19107.20000000,2025-05-02 11:59:59.999,8333.32256000,101,7357.50000000,3212.03833000,0
2025-05-02 12:00:00,0.43580000,0.44190000,0.43500000,0.43730000,104031.30000000,2025-05-02 12:04:59.999,45721.03758000,545,54888.40000000,24114.71578000,0
2025-05-02 12:05:00,0.43760000,0.43760000,0.43480000,0.43520000,68416.90000000,2025-05-02 12:09:59.999,29828.31661000,198,10412.30000000,4541.29822000,0
2025-05-02 12:10:00,0.43470000,0.43470000,0.43030000,0.43250000,52141.70000000,2025-05-02 12:14:59.999,22549.66401000,338,20141.90000000,8715.53559000,0
2025-05-02 12:15:00,0.43210000,0.43250000,0.43090000,0.43150000,16522.20000000,2025-05-02 12:19:59.999,7135.89338000,103,6098.20000000,2634.20199000,0
2025-05-02 12:20:00,0.43180000,0.43250000,0.42910000,0.43090000,38769.70000000,2025-05-02 12:24:59.999,16666.41861000,209,9577.60000000,4125.29798000,0
2025-05-02 12:25:00,0.43010000,0.43110000,0.42920000,0.43090000,20439.60000000,2025-05-02 12:29:59.999,8788.77710000,155,13793.20000000,5932.97361000,0
2025-05-02 12:30:00,0.43070000,0.43740000,0.43070000,0.43280000,120990.40000000,2025-05-02 12:34:59.999,52543.61015000,374,85104.80000000,36928.29225000,0
2025-05-02 12:35:00,0.43270000,0.43540000,0.43230000,0.43510000,12425.70000000,2025-05-02 12:39:59.999,5395.32505000,108,7269.80000000,3158.13429000,0
2025-05-02 12:40:00,0.43490000,0.43600000,0.43360000,0.43400000,21578.10000000,2025-05-02 12:44:59.999,9377.42712000,172,7508.40000000,3267.11933000,0
2025-05-02 12:45:00,0.43410000,0.43570000,0.43310000,0.43410000,45758.80000000,2025-05-02 12:49:59.999,19876.78522000,303,17636.20000000,7665.37253000,0
2025-05-02 12:50:00,0.43380000,0.43710000,0.43370000,0.43620000,26765.30000000,2025-05-02 12:54:59.999,11656.92226000,155,20135.90000000,8773.89707000,0
2025-05-02 12:55:00,0.43610000,0.43650000,0.43510000,0.43640000,5183.10000000,2025-05-02 12:59:59.999,2258.75589000,47,3901.30000000,1700.22440000,0
2025-05-02 13:00:00,0.43640000,0.43700000,0.43490000,0.43590000,11087.10000000,2025-05-02 13:04:59.999,4830.69855000,106,7773.50000000,3387.42119000,0
2025-05-02 13:05:00,0.43600000,0.43790000,0.43600000,0.43780000,17223.80000000,2025-05-02 13:09:59.999,7527.63730000,150,6307.60000000,2757.16965000,0
2025-05-02 13:10:00,0.43780000,0.44140000,0.43750000,0.44140000,91068.80000000,2025-05-02 13:14:59.999,40056.12157000,409,33181.40000000,14596.97794000,0
2025-05-02 13:15:00,0.44120000,0.44860000,0.43880000,0.44650000,155240.50000000,2025-05-02 13:19:59.999,68929.12563000,1026,72696.70000000,32316.83136000,0
2025-05-02 13:20:00,0.44600000,0.45490000,0.44480000,0.44680000,278050.80000000,2025-05-02 13:24:59.999,125074.19762000,2004,115467.50000000,52021.42840000,0
2025-05-02 13:25:00,0.44690000,0.45080000,0.44430000,0.44570000,99045.20000000,2025-05-02 13:29:59.999,44372.50750000,687,29153.10000000,13068.08015000,0
2025-05-02 13:30:00,0.44590000,0.45010000,0.44480000,0.44730000,64134.10000000,2025-05-02 13:34:59.999,28699.29006000,427,27425.30000000,12280.73412000,0
2025-05-02 13:35:00,0.44740000,0.44880000,0.43390000,0.43910000,401833.80000000,2025-05-02 13:39:59.999,177044.92041000,1570,156439.90000000,68825.67066000,0
2025-05-02 13:40:00,0.43930000,0.44440000,0.43900000,0.44080000,165293.30000000,2025-05-02 13:44:59.999,72850.34937000,821,100109.10000000,44110.57959000,0
2025-05-02 13:45:00,0.44070000,0.44620000,0.44010000,0.44620000,108631.70000000,2025-05-02 13:49:59.999,48121.09379000,527,73151.70000000,32427.87835000,0
2025-05-02 13:50:00,0.44630000,0.44740000,0.44320000,0.44470000,49918.30000000,2025-05-02 13:54:59.999,22217.46163000,339,13039.40000000,5805.79800000,0
2025-05-02 13:55:00,0.44440000,0.44440000,0.44120000,0.44280000,16249.80000000,2025-05-02 13:59:59.999,7192.68246000,136,8020.90000000,3548.43348000,0
2025-05-02 14:00:00,0.44290000,0.44300000,0.43750000,0.43780000,78855.40000000,2025-05-02 14:04:59.999,34681.83071000,485,19814.10000000,8700.91336000,0
2025-05-02 14:05:00,0.43780000,0.43860000,0.43550000,0.43610000,47585.30000000,2025-05-02 14:09:59.999,20789.66983000,199,18514.10000000,8099.79741000,0
2025-05-02 14:10:00,0.43610000,0.43610000,0.43420000,0.43540000,33719.10000000,2025-05-02 14:14:59.999,14675.27824000,175,8229.20000000,3582.76972000,0
2025-05-02 14:15:00,0.43550000,0.44000000,0.43510000,0.43940000,21727.10000000,2025-05-02 14:19:59.999,9511.25867000,148,11364.10000000,4974.67738000,0
2025-05-02 14:20:00,0.43940000,0.44030000,0.43750000,0.44030000,22550.10000000,2025-05-02 14:24:59.999,9897.16465000,150,13401.30000000,5884.76023000,0
2025-05-02 14:25:00,0.44000000,0.44170000,0.43880000,0.44150000,41994.40000000,2025-05-02 14:29:59.999,18507.41340000,185,30085.80000000,13257.77506000,0
